,background,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,potted plant,sheep,sofa,train,tv/monitor,red,n_red,yellow,n_yellow,green,n_green,cyan,n_cyan,blue,n_blue,magenta,n_magenta,emotion
347,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.151972678,3,0.42638797799999995,8,0.259442623,4,0.162060109,9,1.09e-05,1,0.000125683,2,joy
348,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.97357912,9,0.024162685,2,0.00013073799999999998,1,0.0013549170000000002,2,0.0,0,0.00077254,3,AMBIGUOUS
349,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.941129147,9,0.000910984,4,0.009642231999999999,1,0.02294023,3,0.0066963230000000006,3,0.018681085,3,AMBIGUOUS
350,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.93626087,8,0.0,0,0.01942029,3,0.038811594,4,0.0,0,0.0055072459999999995,3,AMBIGUOUS
351,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.9176815290000001,9,0.000407643,3,0.03543949,1,0.040203822,1,2.55e-05,1,0.006242038,2,AMBIGUOUS
352,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.9833509090000001,10,0.0006827280000000001,5,0.000703007,1,6.76e-06,1,0.002872864,4,0.012383733999999999,6,AMBIGUOUS
353,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.996021622,9,0.0024,1,0.00017297299999999999,1,0.000259459,1,0.0,0,0.0011459460000000001,1,AMBIGUOUS
354,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.880976407,10,0.0,0,0.000268603,1,3.63e-06,1,0.0056007259999999994,3,0.113150635,5,AMBIGUOUS
355,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.928733255,8,0.0,0,0.000219393,1,0.0,0,0.009595064,1,0.06145228900000001,3,AMBIGUOUS
356,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.7086154179999999,10,0.0028875790000000004,3,0.003257625,3,0.000825022,3,0.009603019,2,0.274811337,7,AMBIGUOUS
357,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.803113236,10,0.000577381,4,0.011870944,2,0.114956466,4,0.029839026,1,0.039642948,6,AMBIGUOUS
358,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.982591973,9,0.00777592,2,0.000267559,2,0.0,0,0.002123746,2,0.0072408030000000005,4,AMBIGUOUS
359,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.806593005,9,0.0,0,0.000616382,2,0.0,0,0.001354519,2,0.19143609399999997,5,AMBIGUOUS
360,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.15431847099999998,4,0.39603184700000005,6,0.326280255,6,0.11319745199999999,9,0.0,0,0.010171975,6,joy
