,background,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,potted plant,sheep,sofa,train,tv/monitor,red,n_red,yellow,n_yellow,green,n_green,cyan,n_cyan,blue,n_blue,magenta,n_magenta,emotion
396,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.683564189,9,0.078631757,4,0.067778716,4,0.153927365,8,0.00022804099999999998,1,0.015869932,5,sadness
397,0.999764385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000235615,0.0,0.0,0,0.0,0.0,0.0,0,0.6167534720000001,7,0.041427951,6,0.128766741,3,0.211771453,7,0.0,0,0.001280382,2,joy
398,0.9999494879999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.05e-05,0.0,0.0,0,0.0,0.0,0.0,0,0.17046740300000002,10,0.0,0,0.331485722,7,0.467194235,10,0.0,0,0.03085264,7,joy
399,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.287168214,9,0.037534603,2,0.352408868,6,0.29596157,6,0.0017214510000000001,3,0.025205295,7,joy
400,0.9822126440000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001082375,0.0,0.0,0.013793103000000001,0.0,0.002911877,0,0.0,0.0,0.0,0,0.748840996,9,0.089597701,3,0.081609195,4,0.056436782000000005,7,0.000545977,1,0.022969349,7,trust
401,0.945349074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054650925999999996,0,0.0,0.0,0.0,0,0.9635129509999999,10,1.77e-05,1,0.000137169,2,0.0,0,0.003411535,6,0.032920645,7,joy
402,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.995382353,10,9.8e-06,1,0.001372549,4,3.9200000000000004e-05,2,6.86e-05,1,0.003127451,5,joy
403,0.9761977890000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021625461000000002,0,0.0,0.0,0.002176751,0,0.497773342,5,0.240267967,7,0.10756680000000002,3,0.143266278,7,0.002099969,1,0.009025645,6,joy
404,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.96983954,10,0.000287862,1,0.00022286099999999998,1,0.003937203,2,0.001027635,1,0.024684900000000003,5,joy
405,0.800313787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051938620000000005,0.0,0.0,0.0,0.0,0.0,0.19407716100000003,0,0.0,0.0,0.0,0,0.9077680370000001,10,0.0,0,0.07146849400000001,6,0.014843026,6,7.979999999999999e-05,1,0.005840599,5,trust
